Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2016-01-03,82,84
2016-01-10,71,75
2016-01-17,76,76
2016-01-24,71,74
2016-01-31,68,75
2016-02-07,58,82
2016-02-14,70,78
2016-02-21,74,75
2016-02-28,79,76
2016-03-06,73,80
2016-03-13,68,72
2016-03-20,57,75
2016-03-27,59,80
2016-04-03,69,76
2016-04-10,77,82
2016-04-17,75,81
2016-04-24,75,81
2016-05-01,79,75
2016-05-08,84,84
2016-05-15,86,72
2016-05-22,82,76
2016-05-29,84,71
2016-06-05,66,67
2016-06-12,72,73
2016-06-19,49,64
2016-06-26,54,61
2016-07-03,51,64
2016-07-10,49,60
2016-07-17,52,65
2016-07-24,52,65
2016-07-31,43,67
2016-08-07,39,63
2016-08-14,39,73
2016-08-21,47,74
2016-08-28,56,82
2016-09-04,51,78
2016-09-11,52,74
2016-09-18,61,80
2016-09-25,65,80
2016-10-02,65,80
2016-10-09,63,78
2016-10-16,63,79
2016-10-23,67,74
2016-10-30,61,77
2016-11-06,75,76
2016-11-13,72,74
2016-11-20,68,80
2016-11-27,66,79
2016-12-04,59,100
2016-12-11,54,85
2016-12-18,44,67
2016-12-25,50,88
