Category: All categories

Week,Clothing: (Portugal)
2013-01-06,72
2013-01-13,77
2013-01-20,86
2013-01-27,83
2013-02-03,85
2013-02-10,81
2013-02-17,78
2013-02-24,80
2013-03-03,75
2013-03-10,83
2013-03-17,79
2013-03-24,88
2013-03-31,82
2013-04-07,79
2013-04-14,84
2013-04-21,80
2013-04-28,74
2013-05-05,71
2013-05-12,77
2013-05-19,92
2013-05-26,75
2013-06-02,70
2013-06-09,74
2013-06-16,67
2013-06-23,75
2013-06-30,67
2013-07-07,73
2013-07-14,76
2013-07-21,75
2013-07-28,78
2013-08-04,75
2013-08-11,74
2013-08-18,78
2013-08-25,75
2013-09-01,80
2013-09-08,82
2013-09-15,74
2013-09-22,85
2013-09-29,86
2013-10-06,82
2013-10-13,85
2013-10-20,92
2013-10-27,81
2013-11-03,85
2013-11-10,87
2013-11-17,85
2013-11-24,92
2013-12-01,85
2013-12-08,89
2013-12-15,86
2013-12-22,94
2013-12-29,97
2014-01-05,88
2014-01-12,89
2014-01-19,88
2014-01-26,84
2014-02-02,82
2014-02-09,89
2014-02-16,93
2014-02-23,94
2014-03-02,92
2014-03-09,86
2014-03-16,84
2014-03-23,82
2014-03-30,82
2014-04-06,84
2014-04-13,90
2014-04-20,84
2014-04-27,82
2014-05-04,79
2014-05-11,80
2014-05-18,82
2014-05-25,72
2014-06-01,84
2014-06-08,81
2014-06-15,75
2014-06-22,71
2014-06-29,75
2014-07-06,78
2014-07-13,73
2014-07-20,86
2014-07-27,78
2014-08-03,76
2014-08-10,76
2014-08-17,82
2014-08-24,85
2014-08-31,84
2014-09-07,82
2014-09-14,84
2014-09-21,81
2014-09-28,81
2014-10-05,83
2014-10-12,95
2014-10-19,85
2014-10-26,84
2014-11-02,92
2014-11-09,90
2014-11-16,100
2014-11-23,89
2014-11-30,89
2014-12-07,91
2014-12-14,85
2014-12-21,88
2014-12-28,100
