Category: All categories

Week,Mobile phone: (Portugal)
2012-01-01,69
2012-01-08,66
2012-01-15,66
2012-01-22,65
2012-01-29,64
2012-02-05,67
2012-02-12,61
2012-02-19,62
2012-02-26,63
2012-03-04,60
2012-03-11,61
2012-03-18,60
2012-03-25,56
2012-04-01,57
2012-04-08,55
2012-04-15,55
2012-04-22,60
2012-04-29,59
2012-05-06,59
2012-05-13,57
2012-05-20,54
2012-05-27,61
2012-06-03,60
2012-06-10,59
2012-06-17,58
2012-06-24,60
2012-07-01,63
2012-07-08,69
2012-07-15,68
2012-07-22,68
2012-07-29,71
2012-08-05,74
2012-08-12,74
2012-08-19,76
2012-08-26,73
2012-09-02,75
2012-09-09,66
2012-09-16,64
2012-09-23,69
2012-09-30,71
2012-10-07,62
2012-10-14,57
2012-10-21,64
2012-10-28,65
2012-11-04,66
2012-11-11,66
2012-11-18,69
2012-11-25,69
2012-12-02,78
2012-12-09,76
2012-12-16,76
2012-12-23,92
2012-12-30,82
2013-01-06,69
2013-01-13,73
2013-01-20,70
2013-01-27,69
2013-02-03,69
2013-02-10,71
2013-02-17,66
2013-02-24,64
2013-03-03,66
2013-03-10,71
2013-03-17,68
2013-03-24,76
2013-03-31,76
2013-04-07,67
2013-04-14,63
2013-04-21,69
2013-04-28,67
2013-05-05,69
2013-05-12,66
2013-05-19,65
2013-05-26,64
2013-06-02,66
2013-06-09,66
2013-06-16,61
2013-06-23,65
2013-06-30,64
2013-07-07,67
2013-07-14,69
2013-07-21,70
2013-07-28,78
2013-08-04,79
2013-08-11,81
2013-08-18,81
2013-08-25,76
2013-09-01,73
2013-09-08,82
2013-09-15,72
2013-09-22,78
2013-09-29,68
2013-10-06,77
2013-10-13,72
2013-10-20,73
2013-10-27,71
2013-11-03,70
2013-11-10,73
2013-11-17,74
2013-11-24,77
2013-12-01,86
2013-12-08,85
2013-12-15,81
2013-12-22,100
2013-12-29,87
