Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2014-01-05,85,31
2014-01-12,80,36
2014-01-19,80,40
2014-01-26,82,40
2014-02-02,73,36
2014-02-09,80,31
2014-02-16,71,31
2014-02-23,76,32
2014-03-02,68,34
2014-03-09,72,36
2014-03-16,81,37
2014-03-23,86,37
2014-03-30,77,32
2014-04-06,62,28
2014-04-13,61,26
2014-04-20,67,24
2014-04-27,67,29
2014-05-04,79,33
2014-05-11,86,30
2014-05-18,99,37
2014-05-25,100,34
2014-06-01,97,32
2014-06-08,88,24
2014-06-15,84,29
2014-06-22,78,30
2014-06-29,69,25
2014-07-06,69,27
2014-07-13,61,25
2014-07-20,52,28
2014-07-27,51,24
2014-08-03,48,26
2014-08-10,41,27
2014-08-17,51,26
2014-08-24,46,25
2014-08-31,62,29
2014-09-07,56,25
2014-09-14,66,36
2014-09-21,66,35
2014-09-28,72,36
2014-10-05,79,33
2014-10-12,71,30
2014-10-19,64,33
2014-10-26,74,32
2014-11-02,72,33
2014-11-09,76,39
2014-11-16,67,38
2014-11-23,66,29
2014-11-30,63,32
2014-12-07,74,36
2014-12-14,65,37
2014-12-21,58,36
2014-12-28,73,47
