Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2007-01-07,69,27
2007-01-14,74,24
2007-01-21,64,22
2007-01-28,74,12
2007-02-04,60,25
2007-02-11,54,19
2007-02-18,49,28
2007-02-25,57,22
2007-03-04,80,28
2007-03-11,63,19
2007-03-18,75,17
2007-03-25,54,25
2007-04-01,57,20
2007-04-08,77,19
2007-04-15,83,14
2007-04-22,79,21
2007-04-29,69,23
2007-05-06,100,8
2007-05-13,98,20
2007-05-20,93,15
2007-05-27,95,17
2007-06-03,95,19
2007-06-10,80,21
2007-06-17,53,15
2007-06-24,52,25
2007-07-01,46,13
2007-07-08,45,20
2007-07-15,44,17
2007-07-22,43,26
2007-07-29,41,26
2007-08-05,35,23
2007-08-12,42,19
2007-08-19,46,23
2007-08-26,36,23
2007-09-02,61,23
2007-09-09,42,17
2007-09-16,53,15
2007-09-23,71,19
2007-09-30,57,18
2007-10-07,71,20
2007-10-14,77,9
2007-10-21,73,16
2007-10-28,72,26
2007-11-04,84,15
2007-11-11,85,15
2007-11-18,76,16
2007-11-25,85,19
2007-12-02,76,17
2007-12-09,77,17
2007-12-16,45,20
2007-12-23,43,21
2007-12-30,52,26
