Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2018-01-07,83,32
2018-01-14,85,27
2018-01-21,87,25
2018-01-28,79,25
2018-02-04,75,31
2018-02-11,73,24
2018-02-18,83,26
2018-02-25,82,24
2018-03-04,80,19
2018-03-11,94,21
2018-03-18,87,27
2018-03-25,84,19
2018-04-01,84,21
2018-04-08,82,21
2018-04-15,90,22
2018-04-22,90,22
2018-04-29,85,20
2018-05-06,79,19
2018-05-13,83,15
2018-05-20,94,16
2018-05-27,80,21
2018-06-03,100,18
2018-06-10,84,19
2018-06-17,67,17
2018-06-24,58,18
2018-07-01,57,17
2018-07-08,54,17
2018-07-15,58,18
2018-07-22,59,14
2018-07-29,57,19
2018-08-05,50,18
2018-08-12,51,15
2018-08-19,57,18
2018-08-26,55,17
2018-09-02,61,19
2018-09-09,56,18
2018-09-16,59,19
2018-09-23,79,18
2018-09-30,69,13
2018-10-07,91,20
2018-10-14,74,22
2018-10-21,77,23
2018-10-28,70,34
2018-11-04,75,31
2018-11-11,78,26
2018-11-18,77,26
2018-11-25,85,30
2018-12-02,81,27
2018-12-09,70,26
2018-12-16,61,26
2018-12-23,50,26
2018-12-30,65,31
