Category: All categories

Week,ebook: (Portugal)
2008-01-06,58
2008-01-13,35
2008-01-20,47
2008-01-27,41
2008-02-03,52
2008-02-10,45
2008-02-17,51
2008-02-24,33
2008-03-02,63
2008-03-09,59
2008-03-16,47
2008-03-23,40
2008-03-30,49
2008-04-06,77
2008-04-13,34
2008-04-20,53
2008-04-27,39
2008-05-04,49
2008-05-11,57
2008-05-18,40
2008-05-25,46
2008-06-01,41
2008-06-08,26
2008-06-15,48
2008-06-22,54
2008-06-29,51
2008-07-06,52
2008-07-13,30
2008-07-20,52
2008-07-27,59
2008-08-03,53
2008-08-10,57
2008-08-17,46
2008-08-24,40
2008-08-31,38
2008-09-07,65
2008-09-14,58
2008-09-21,76
2008-09-28,70
2008-10-05,59
2008-10-12,57
2008-10-19,72
2008-10-26,55
2008-11-02,50
2008-11-09,67
2008-11-16,45
2008-11-23,50
2008-11-30,57
2008-12-07,47
2008-12-14,62
2008-12-21,53
2008-12-28,73
2009-01-04,66
2009-01-11,85
2009-01-18,64
2009-01-25,75
2009-02-01,68
2009-02-08,61
2009-02-15,56
2009-02-22,57
2009-03-01,76
2009-03-08,54
2009-03-15,47
2009-03-22,64
2009-03-29,40
2009-04-05,66
2009-04-12,64
2009-04-19,57
2009-04-26,54
2009-05-03,57
2009-05-10,53
2009-05-17,54
2009-05-24,63
2009-05-31,51
2009-06-07,70
2009-06-14,63
2009-06-21,43
2009-06-28,51
2009-07-05,47
2009-07-12,44
2009-07-19,56
2009-07-26,55
2009-08-02,63
2009-08-09,48
2009-08-16,62
2009-08-23,60
2009-08-30,43
2009-09-06,72
2009-09-13,57
2009-09-20,77
2009-09-27,68
2009-10-04,88
2009-10-11,78
2009-10-18,79
2009-10-25,97
2009-11-01,100
2009-11-08,78
2009-11-15,90
2009-11-22,89
2009-11-29,67
2009-12-06,66
2009-12-13,70
2009-12-20,67
2009-12-27,73
