Category: All categories

Week,Lawyer: (Portugal)
2013-01-06,73
2013-01-13,57
2013-01-20,64
2013-01-27,64
2013-02-03,62
2013-02-10,54
2013-02-17,67
2013-02-24,67
2013-03-03,64
2013-03-10,57
2013-03-17,62
2013-03-24,49
2013-03-31,61
2013-04-07,72
2013-04-14,58
2013-04-21,55
2013-04-28,56
2013-05-05,62
2013-05-12,65
2013-05-19,67
2013-05-26,69
2013-06-02,63
2013-06-09,54
2013-06-16,66
2013-06-23,65
2013-06-30,55
2013-07-07,63
2013-07-14,60
2013-07-21,61
2013-07-28,58
2013-08-04,43
2013-08-11,44
2013-08-18,49
2013-08-25,51
2013-09-01,63
2013-09-08,62
2013-09-15,76
2013-09-22,64
2013-09-29,68
2013-10-06,67
2013-10-13,73
2013-10-20,70
2013-10-27,69
2013-11-03,68
2013-11-10,72
2013-11-17,68
2013-11-24,92
2013-12-01,73
2013-12-08,66
2013-12-15,90
2013-12-22,44
2013-12-29,51
2014-01-05,67
2014-01-12,60
2014-01-19,69
2014-01-26,68
2014-02-02,71
2014-02-09,64
2014-02-16,67
2014-02-23,62
2014-03-02,61
2014-03-09,60
2014-03-16,69
2014-03-23,66
2014-03-30,69
2014-04-06,63
2014-04-13,59
2014-04-20,48
2014-04-27,55
2014-05-04,92
2014-05-11,79
2014-05-18,68
2014-05-25,70
2014-06-01,66
2014-06-08,53
2014-06-15,57
2014-06-22,66
2014-06-29,63
2014-07-06,72
2014-07-13,67
2014-07-20,62
2014-07-27,60
2014-08-03,52
2014-08-10,44
2014-08-17,47
2014-08-24,49
2014-08-31,70
2014-09-07,65
2014-09-14,74
2014-09-21,76
2014-09-28,65
2014-10-05,76
2014-10-12,70
2014-10-19,73
2014-10-26,63
2014-11-02,68
2014-11-09,66
2014-11-16,89
2014-11-23,100
2014-11-30,66
2014-12-07,63
2014-12-14,66
2014-12-21,46
2014-12-28,51
