Category: All categories

Week,Electricity: (Portugal)
2018-01-07,84
2018-01-14,78
2018-01-21,74
2018-01-28,87
2018-02-04,78
2018-02-11,75
2018-02-18,73
2018-02-25,77
2018-03-04,87
2018-03-11,83
2018-03-18,84
2018-03-25,69
2018-04-01,71
2018-04-08,70
2018-04-15,67
2018-04-22,63
2018-04-29,73
2018-05-06,71
2018-05-13,76
2018-05-20,64
2018-05-27,67
2018-06-03,75
2018-06-10,66
2018-06-17,53
2018-06-24,59
2018-07-01,59
2018-07-08,60
2018-07-15,59
2018-07-22,63
2018-07-29,84
2018-08-05,74
2018-08-12,66
2018-08-19,63
2018-08-26,67
2018-09-02,62
2018-09-09,67
2018-09-16,73
2018-09-23,77
2018-09-30,75
2018-10-07,88
2018-10-14,100
2018-10-21,89
2018-10-28,91
2018-11-04,80
2018-11-11,83
2018-11-18,85
2018-11-25,89
2018-12-02,77
2018-12-09,70
2018-12-16,92
2018-12-23,84
2018-12-30,88
