Category: All categories

Week,Mobile phone: (Portugal)
2012-01-01,76
2012-01-08,71
2012-01-15,71
2012-01-22,71
2012-01-29,69
2012-02-05,73
2012-02-12,66
2012-02-19,67
2012-02-26,69
2012-03-04,66
2012-03-11,66
2012-03-18,66
2012-03-25,61
2012-04-01,62
2012-04-08,60
2012-04-15,59
2012-04-22,65
2012-04-29,63
2012-05-06,64
2012-05-13,62
2012-05-20,59
2012-05-27,66
2012-06-03,66
2012-06-10,64
2012-06-17,64
2012-06-24,66
2012-07-01,69
2012-07-08,74
2012-07-15,75
2012-07-22,75
2012-07-29,78
2012-08-05,80
2012-08-12,80
2012-08-19,83
2012-08-26,80
2012-09-02,82
2012-09-09,72
2012-09-16,70
2012-09-23,76
2012-09-30,77
2012-10-07,68
2012-10-14,62
2012-10-21,71
2012-10-28,71
2012-11-04,72
2012-11-11,72
2012-11-18,75
2012-11-25,74
2012-12-02,84
2012-12-09,85
2012-12-16,84
2012-12-23,100
2012-12-30,88
