Category: All categories

Week,Furniture: (Portugal)
2007-01-07,82
2007-01-14,77
2007-01-21,87
2007-01-28,87
2007-02-04,82
2007-02-11,55
2007-02-18,55
2007-02-25,95
2007-03-04,75
2007-03-11,80
2007-03-18,63
2007-03-25,80
2007-04-01,74
2007-04-08,77
2007-04-15,73
2007-04-22,68
2007-04-29,66
2007-05-06,67
2007-05-13,65
2007-05-20,70
2007-05-27,70
2007-06-03,74
2007-06-10,78
2007-06-17,61
2007-06-24,86
2007-07-01,69
2007-07-08,67
2007-07-15,73
2007-07-22,73
2007-07-29,76
2007-08-05,65
2007-08-12,70
2007-08-19,93
2007-08-26,100
2007-09-02,77
2007-09-09,71
2007-09-16,81
2007-09-23,82
2007-09-30,74
2007-10-07,81
2007-10-14,67
2007-10-21,64
2007-10-28,67
2007-11-04,68
2007-11-11,49
2007-11-18,64
2007-11-25,62
2007-12-02,73
2007-12-09,48
2007-12-16,34
2007-12-23,62
2007-12-30,63
2008-01-06,69
2008-01-13,84
2008-01-20,84
2008-01-27,68
2008-02-03,65
2008-02-10,57
2008-02-17,65
2008-02-24,61
2008-03-02,70
2008-03-09,65
2008-03-16,69
2008-03-23,72
2008-03-30,55
2008-04-06,70
2008-04-13,71
2008-04-20,60
2008-04-27,62
2008-05-04,56
2008-05-11,66
2008-05-18,58
2008-05-25,67
2008-06-01,64
2008-06-08,55
2008-06-15,41
2008-06-22,50
2008-06-29,49
2008-07-06,57
2008-07-13,62
2008-07-20,57
2008-07-27,61
2008-08-03,64
2008-08-10,59
2008-08-17,67
2008-08-24,80
2008-08-31,65
2008-09-07,60
2008-09-14,59
2008-09-21,58
2008-09-28,54
2008-10-05,65
2008-10-12,61
2008-10-19,58
2008-10-26,62
2008-11-02,51
2008-11-09,57
2008-11-16,54
2008-11-23,61
2008-11-30,50
2008-12-07,43
2008-12-14,41
2008-12-21,33
2008-12-28,40
