Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2018-01-07,64,55
2018-01-14,66,55
2018-01-21,67,48
2018-01-28,61,50
2018-02-04,58,53
2018-02-11,57,48
2018-02-18,64,50
2018-02-25,63,47
2018-03-04,62,53
2018-03-11,73,54
2018-03-18,67,56
2018-03-25,65,56
2018-04-01,65,56
2018-04-08,63,60
2018-04-15,70,60
2018-04-22,70,74
2018-04-29,66,70
2018-05-06,61,79
2018-05-13,64,80
2018-05-20,72,81
2018-05-27,62,90
2018-06-03,77,83
2018-06-10,65,98
2018-06-17,52,85
2018-06-24,45,87
2018-07-01,44,86
2018-07-08,42,94
2018-07-15,45,100
2018-07-22,45,84
2018-07-29,44,76
2018-08-05,39,79
2018-08-12,39,75
2018-08-19,44,76
2018-08-26,43,75
2018-09-02,47,70
2018-09-09,43,69
2018-09-16,45,56
2018-09-23,61,63
2018-09-30,53,66
2018-10-07,70,58
2018-10-14,57,58
2018-10-21,59,57
2018-10-28,54,62
2018-11-04,58,54
2018-11-11,60,63
2018-11-18,59,72
2018-11-25,65,67
2018-12-02,62,79
2018-12-09,54,80
2018-12-16,47,82
2018-12-23,38,67
2018-12-30,50,49
