Category: All categories

Week,Energy: (Portugal),Auto insurance: (Portugal)
2009-01-04,95,0
2009-01-11,80,0
2009-01-18,72,1
2009-01-25,77,1
2009-02-01,69,0
2009-02-08,74,1
2009-02-15,88,0
2009-02-22,71,2
2009-03-01,100,0
2009-03-08,93,0
2009-03-15,80,0
2009-03-22,93,0
2009-03-29,60,0
2009-04-05,58,1
2009-04-12,81,2
2009-04-19,79,2
2009-04-26,80,0
2009-05-03,87,0
2009-05-10,78,0
2009-05-17,80,0
2009-05-24,94,2
2009-05-31,78,1
2009-06-07,56,0
2009-06-14,72,1
2009-06-21,53,0
2009-06-28,54,0
2009-07-05,59,0
2009-07-12,52,1
2009-07-19,46,0
2009-07-26,46,0
2009-08-02,39,0
2009-08-09,39,0
2009-08-16,29,3
2009-08-23,36,0
2009-08-30,40,0
2009-09-06,31,0
2009-09-13,51,0
2009-09-20,48,0
2009-09-27,53,2
2009-10-04,53,0
2009-10-11,56,0
2009-10-18,65,0
2009-10-25,57,2
2009-11-01,67,0
2009-11-08,64,0
2009-11-15,70,0
2009-11-22,60,1
2009-11-29,54,0
2009-12-06,61,0
2009-12-13,63,0
2009-12-20,34,2
2009-12-27,36,0
