Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2006-01-01,61,0
2006-01-08,61,0
2006-01-15,54,0
2006-01-22,50,3
2006-01-29,62,0
2006-02-05,70,0
2006-02-12,44,0
2006-02-19,62,0
2006-02-26,52,9
2006-03-05,62,0
2006-03-12,58,2
2006-03-19,60,0
2006-03-26,53,5
2006-04-02,46,0
2006-04-09,44,6
2006-04-16,58,3
2006-04-23,61,0
2006-04-30,72,0
2006-05-07,82,0
2006-05-14,86,6
2006-05-21,99,0
2006-05-28,73,3
2006-06-04,100,2
2006-06-11,65,0
2006-06-18,43,4
2006-06-25,40,0
2006-07-02,29,0
2006-07-09,33,2
2006-07-16,19,6
2006-07-23,33,0
2006-07-30,20,0
2006-08-06,26,0
2006-08-13,28,3
2006-08-20,26,0
2006-08-27,35,0
2006-09-03,24,0
2006-09-10,23,0
2006-09-17,40,0
2006-09-24,48,0
2006-10-01,58,0
2006-10-08,54,5
2006-10-15,54,0
2006-10-22,59,0
2006-10-29,51,0
2006-11-05,54,0
2006-11-12,49,0
2006-11-19,54,0
2006-11-26,48,2
2006-12-03,48,0
2006-12-10,47,0
2006-12-17,32,0
2006-12-24,24,0
2006-12-31,40,0
