Category: All categories

Week,Mobile phone: (Portugal)
2008-01-06,86
2008-01-13,80
2008-01-20,76
2008-01-27,74
2008-02-03,79
2008-02-10,75
2008-02-17,70
2008-02-24,66
2008-03-02,66
2008-03-09,66
2008-03-16,80
2008-03-23,81
2008-03-30,92
2008-04-06,76
2008-04-13,76
2008-04-20,73
2008-04-27,76
2008-05-04,78
2008-05-11,70
2008-05-18,77
2008-05-25,67
2008-06-01,65
2008-06-08,74
2008-06-15,71
2008-06-22,75
2008-06-29,75
2008-07-06,83
2008-07-13,81
2008-07-20,72
2008-07-27,84
2008-08-03,77
2008-08-10,84
2008-08-17,86
2008-08-24,89
2008-08-31,77
2008-09-07,70
2008-09-14,69
2008-09-21,82
2008-09-28,67
2008-10-05,70
2008-10-12,70
2008-10-19,77
2008-10-26,71
2008-11-02,70
2008-11-09,78
2008-11-16,74
2008-11-23,74
2008-11-30,80
2008-12-07,88
2008-12-14,89
2008-12-21,100
2008-12-28,85
2009-01-04,83
2009-01-11,80
2009-01-18,79
2009-01-25,75
2009-02-01,76
2009-02-08,69
2009-02-15,70
2009-02-22,72
2009-03-01,67
2009-03-08,74
2009-03-15,70
2009-03-22,70
2009-03-29,65
2009-04-05,68
2009-04-12,68
2009-04-19,68
2009-04-26,72
2009-05-03,70
2009-05-10,66
2009-05-17,71
2009-05-24,66
2009-05-31,60
2009-06-07,71
2009-06-14,69
2009-06-21,74
2009-06-28,71
2009-07-05,78
2009-07-12,79
2009-07-19,79
2009-07-26,71
2009-08-02,86
2009-08-09,85
2009-08-16,88
2009-08-23,85
2009-08-30,79
2009-09-06,70
2009-09-13,68
2009-09-20,73
2009-09-27,73
2009-10-04,80
2009-10-11,70
2009-10-18,73
2009-10-25,72
2009-11-01,71
2009-11-08,76
2009-11-15,74
2009-11-22,82
2009-11-29,85
2009-12-06,86
2009-12-13,83
2009-12-20,96
2009-12-27,87
