Category: All categories

Week,Furniture: (Portugal)
2016-01-03,84
2016-01-10,77
2016-01-17,76
2016-01-24,75
2016-01-31,74
2016-02-07,86
2016-02-14,77
2016-02-21,75
2016-02-28,76
2016-03-06,81
2016-03-13,72
2016-03-20,75
2016-03-27,80
2016-04-03,76
2016-04-10,83
2016-04-17,80
2016-04-24,81
2016-05-01,73
2016-05-08,84
2016-05-15,71
2016-05-22,77
2016-05-29,69
2016-06-05,66
2016-06-12,72
2016-06-19,64
2016-06-26,58
2016-07-03,64
2016-07-10,60
2016-07-17,66
2016-07-24,64
2016-07-31,64
2016-08-07,63
2016-08-14,74
2016-08-21,76
2016-08-28,82
2016-09-04,78
2016-09-11,74
2016-09-18,82
2016-09-25,79
2016-10-02,81
2016-10-09,76
2016-10-16,78
2016-10-23,75
2016-10-30,78
2016-11-06,75
2016-11-13,73
2016-11-20,82
2016-11-27,79
2016-12-04,100
2016-12-11,86
2016-12-18,67
2016-12-25,87
