Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2008-01-06,71,19
2008-01-13,66,21
2008-01-20,61,19
2008-01-27,62,18
2008-02-03,54,12
2008-02-10,61,17
2008-02-17,73,21
2008-02-24,73,19
2008-03-02,72,17
2008-03-09,60,20
2008-03-16,53,18
2008-03-23,47,15
2008-03-30,74,20
2008-04-06,68,23
2008-04-13,68,22
2008-04-20,82,16
2008-04-27,66,15
2008-05-04,89,14
2008-05-11,82,16
2008-05-18,90,20
2008-05-25,100,19
2008-06-01,95,19
2008-06-08,76,17
2008-06-15,69,19
2008-06-22,55,22
2008-06-29,50,20
2008-07-06,51,15
2008-07-13,60,15
2008-07-20,35,17
2008-07-27,31,15
2008-08-03,34,10
2008-08-10,28,13
2008-08-17,38,14
2008-08-24,32,15
2008-08-31,36,10
2008-09-07,39,15
2008-09-14,52,16
2008-09-21,59,18
2008-09-28,61,22
2008-10-05,66,19
2008-10-12,60,21
2008-10-19,58,18
2008-10-26,59,16
2008-11-02,53,13
2008-11-09,65,17
2008-11-16,72,18
2008-11-23,61,15
2008-11-30,57,16
2008-12-07,54,9
2008-12-14,63,17
2008-12-21,40,11
2008-12-28,51,15
