Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2012-01-01,45,79
2012-01-08,52,85
2012-01-15,51,85
2012-01-22,50,81
2012-01-29,43,87
2012-02-05,50,88
2012-02-12,45,97
2012-02-19,40,96
2012-02-26,47,80
2012-03-04,47,89
2012-03-11,52,88
2012-03-18,49,85
2012-03-25,39,92
2012-04-01,32,89
2012-04-08,42,81
2012-04-15,55,81
2012-04-22,46,85
2012-04-29,50,80
2012-05-06,55,87
2012-05-13,60,84
2012-05-20,58,86
2012-05-27,61,82
2012-06-03,51,86
2012-06-10,48,82
2012-06-17,41,81
2012-06-24,44,87
2012-07-01,41,91
2012-07-08,37,86
2012-07-15,31,85
2012-07-22,28,89
2012-07-29,26,87
2012-08-05,26,89
2012-08-12,25,95
2012-08-19,27,89
2012-08-26,28,94
2012-09-02,28,90
2012-09-09,35,87
2012-09-16,40,83
2012-09-23,34,94
2012-09-30,32,89
2012-10-07,36,85
2012-10-14,38,93
2012-10-21,38,95
2012-10-28,39,97
2012-11-04,41,94
2012-11-11,39,88
2012-11-18,40,95
2012-11-25,44,100
2012-12-02,42,88
2012-12-09,41,88
2012-12-16,34,99
2012-12-23,39,100
2012-12-30,44,89
