Category: All categories

Week,Food: (Portugal)
2017-01-01,69
2017-01-08,75
2017-01-15,71
2017-01-22,68
2017-01-29,74
2017-02-05,77
2017-02-12,75
2017-02-19,73
2017-02-26,73
2017-03-05,77
2017-03-12,72
2017-03-19,80
2017-03-26,77
2017-04-02,70
2017-04-09,65
2017-04-16,72
2017-04-23,69
2017-04-30,67
2017-05-07,64
2017-05-14,79
2017-05-21,74
2017-05-28,88
2017-06-04,73
2017-06-11,69
2017-06-18,66
2017-06-25,83
2017-07-02,69
2017-07-09,68
2017-07-16,66
2017-07-23,71
2017-07-30,66
2017-08-06,67
2017-08-13,65
2017-08-20,64
2017-08-27,68
2017-09-03,64
2017-09-10,76
2017-09-17,74
2017-09-24,70
2017-10-01,73
2017-10-08,93
2017-10-15,90
2017-10-22,77
2017-10-29,75
2017-11-05,78
2017-11-12,69
2017-11-19,74
2017-11-26,71
2017-12-03,69
2017-12-10,62
2017-12-17,62
2017-12-24,63
2017-12-31,68
2018-01-07,73
2018-01-14,77
2018-01-21,77
2018-01-28,76
2018-02-04,77
2018-02-11,74
2018-02-18,76
2018-02-25,74
2018-03-04,74
2018-03-11,78
2018-03-18,75
2018-03-25,74
2018-04-01,75
2018-04-08,78
2018-04-15,75
2018-04-22,76
2018-04-29,76
2018-05-06,74
2018-05-13,73
2018-05-20,71
2018-05-27,82
2018-06-03,78
2018-06-10,75
2018-06-17,68
2018-06-24,71
2018-07-01,77
2018-07-08,79
2018-07-15,74
2018-07-22,74
2018-07-29,72
2018-08-05,71
2018-08-12,79
2018-08-19,74
2018-08-26,77
2018-09-02,74
2018-09-09,71
2018-09-16,75
2018-09-23,75
2018-09-30,81
2018-10-07,89
2018-10-14,100
2018-10-21,81
2018-10-28,74
2018-11-04,75
2018-11-11,80
2018-11-18,76
2018-11-25,74
2018-12-02,81
2018-12-09,68
2018-12-16,68
2018-12-23,68
2018-12-30,72
