Category: All categories

Week,Used car: (Portugal)
2017-01-01,92
2017-01-08,84
2017-01-15,86
2017-01-22,97
2017-01-29,90
2017-02-05,81
2017-02-12,79
2017-02-19,93
2017-02-26,84
2017-03-05,73
2017-03-12,85
2017-03-19,80
2017-03-26,79
2017-04-02,80
2017-04-09,69
2017-04-16,89
2017-04-23,88
2017-04-30,91
2017-05-07,74
2017-05-14,92
2017-05-21,81
2017-05-28,80
2017-06-04,78
2017-06-11,89
2017-06-18,81
2017-06-25,86
2017-07-02,99
2017-07-09,87
2017-07-16,81
2017-07-23,100
2017-07-30,95
2017-08-06,95
2017-08-13,91
2017-08-20,81
2017-08-27,83
2017-09-03,85
2017-09-10,79
2017-09-17,84
2017-09-24,84
2017-10-01,82
2017-10-08,88
2017-10-15,79
2017-10-22,77
2017-10-29,84
2017-11-05,89
2017-11-12,92
2017-11-19,94
2017-11-26,85
2017-12-03,78
2017-12-10,82
2017-12-17,73
2017-12-24,92
2017-12-31,82
