Category: All categories

Week,Energy: (Portugal),Lingerie: (Portugal)
2018-01-07,82,17
2018-01-14,86,19
2018-01-21,85,21
2018-01-28,79,22
2018-02-04,72,18
2018-02-11,71,18
2018-02-18,82,12
2018-02-25,78,13
2018-03-04,82,18
2018-03-11,95,14
2018-03-18,83,15
2018-03-25,85,15
2018-04-01,82,15
2018-04-08,79,15
2018-04-15,90,16
2018-04-22,85,15
2018-04-29,89,15
2018-05-06,79,18
2018-05-13,80,14
2018-05-20,92,16
2018-05-27,77,15
2018-06-03,100,14
2018-06-10,82,13
2018-06-17,67,13
2018-06-24,59,10
2018-07-01,58,18
2018-07-08,55,15
2018-07-15,60,17
2018-07-22,59,16
2018-07-29,55,13
2018-08-05,51,13
2018-08-12,53,15
2018-08-19,55,16
2018-08-26,54,14
2018-09-02,59,16
2018-09-09,56,15
2018-09-16,59,15
2018-09-23,76,16
2018-09-30,69,17
2018-10-07,88,18
2018-10-14,74,16
2018-10-21,76,20
2018-10-28,68,18
2018-11-04,75,16
2018-11-11,76,20
2018-11-18,79,22
2018-11-25,81,19
2018-12-02,81,22
2018-12-09,66,27
2018-12-16,63,24
2018-12-23,49,30
2018-12-30,65,21
