Category: All categories

Week,Mobile phone: (Portugal)
2010-01-03,100
2010-01-10,79
2010-01-17,78
2010-01-24,79
2010-01-31,69
2010-02-07,71
2010-02-14,74
2010-02-21,69
2010-02-28,70
2010-03-07,67
2010-03-14,71
2010-03-21,64
2010-03-28,71
2010-04-04,67
2010-04-11,63
2010-04-18,62
2010-04-25,62
2010-05-02,67
2010-05-09,74
2010-05-16,67
2010-05-23,64
2010-05-30,58
2010-06-06,66
2010-06-13,66
2010-06-20,65
2010-06-27,76
2010-07-04,75
2010-07-11,72
2010-07-18,77
2010-07-25,75
2010-08-01,78
2010-08-08,80
2010-08-15,84
2010-08-22,77
2010-08-29,77
2010-09-05,73
2010-09-12,70
2010-09-19,71
2010-09-26,68
2010-10-03,65
2010-10-10,64
2010-10-17,61
2010-10-24,67
2010-10-31,68
2010-11-07,67
2010-11-14,65
2010-11-21,66
2010-11-28,68
2010-12-05,75
2010-12-12,76
2010-12-19,89
2010-12-26,85
2011-01-02,76
2011-01-09,68
2011-01-16,67
2011-01-23,67
2011-01-30,67
2011-02-06,64
2011-02-13,64
2011-02-20,61
2011-02-27,61
2011-03-06,60
2011-03-13,56
2011-03-20,59
2011-03-27,57
2011-04-03,51
2011-04-10,52
2011-04-17,56
2011-04-24,53
2011-05-01,58
2011-05-08,59
2011-05-15,59
2011-05-22,56
2011-05-29,60
2011-06-05,55
2011-06-12,61
2011-06-19,53
2011-06-26,55
2011-07-03,62
2011-07-10,63
2011-07-17,58
2011-07-24,66
2011-07-31,70
2011-08-07,70
2011-08-14,64
2011-08-21,67
2011-08-28,64
2011-09-04,64
2011-09-11,63
2011-09-18,64
2011-09-25,64
2011-10-02,62
2011-10-09,60
2011-10-16,54
2011-10-23,63
2011-10-30,60
2011-11-06,63
2011-11-13,64
2011-11-20,65
2011-11-27,66
2011-12-04,72
2011-12-11,71
2011-12-18,74
2011-12-25,84
