Category: All categories

Week,Tobacco: (Portugal)
2008-01-06,29
2008-01-13,65
2008-01-20,36
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,0
2008-03-09,21
2008-03-16,39
2008-03-23,0
2008-03-30,0
2008-04-06,17
2008-04-13,0
2008-04-20,0
2008-04-27,0
2008-05-04,37
2008-05-11,24
2008-05-18,0
2008-05-25,36
2008-06-01,21
2008-06-08,0
2008-06-15,0
2008-06-22,100
2008-06-29,0
2008-07-06,34
2008-07-13,29
2008-07-20,22
2008-07-27,0
2008-08-03,0
2008-08-10,47
2008-08-17,27
2008-08-24,0
2008-08-31,0
2008-09-07,19
2008-09-14,58
2008-09-21,0
2008-09-28,0
2008-10-05,20
2008-10-12,0
2008-10-19,49
2008-10-26,23
2008-11-02,0
2008-11-09,32
2008-11-16,0
2008-11-23,40
2008-11-30,0
2008-12-07,0
2008-12-14,28
2008-12-21,0
2008-12-28,0
2009-01-04,0
2009-01-11,29
2009-01-18,0
2009-01-25,53
2009-02-01,0
2009-02-08,64
2009-02-15,0
2009-02-22,64
2009-03-01,0
2009-03-08,37
2009-03-15,14
2009-03-22,43
2009-03-29,20
2009-04-05,0
2009-04-12,0
2009-04-19,35
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,54
2009-05-31,33
2009-06-07,0
2009-06-14,34
2009-06-21,44
2009-06-28,23
2009-07-05,0
2009-07-12,0
2009-07-19,24
2009-07-26,0
2009-08-02,0
2009-08-09,18
2009-08-16,0
2009-08-23,21
2009-08-30,23
2009-09-06,0
2009-09-13,0
2009-09-20,33
2009-09-27,0
2009-10-04,0
2009-10-11,25
2009-10-18,53
2009-10-25,0
2009-11-01,23
2009-11-08,15
2009-11-15,26
2009-11-22,15
2009-11-29,35
2009-12-06,26
2009-12-13,21
2009-12-20,0
2009-12-27,49
