Category: All categories

Week,Mobile phone: (Portugal)
2008-01-06,85
2008-01-13,79
2008-01-20,80
2008-01-27,76
2008-02-03,81
2008-02-10,74
2008-02-17,69
2008-02-24,69
2008-03-02,68
2008-03-09,69
2008-03-16,81
2008-03-23,81
2008-03-30,96
2008-04-06,78
2008-04-13,76
2008-04-20,75
2008-04-27,76
2008-05-04,80
2008-05-11,70
2008-05-18,79
2008-05-25,70
2008-06-01,65
2008-06-08,74
2008-06-15,72
2008-06-22,76
2008-06-29,78
2008-07-06,85
2008-07-13,82
2008-07-20,72
2008-07-27,83
2008-08-03,78
2008-08-10,86
2008-08-17,86
2008-08-24,90
2008-08-31,82
2008-09-07,72
2008-09-14,69
2008-09-21,85
2008-09-28,69
2008-10-05,71
2008-10-12,72
2008-10-19,77
2008-10-26,72
2008-11-02,72
2008-11-09,77
2008-11-16,77
2008-11-23,76
2008-11-30,82
2008-12-07,89
2008-12-14,90
2008-12-21,100
2008-12-28,87
