Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2008-01-06,71,14
2008-01-13,66,13
2008-01-20,61,15
2008-01-27,62,14
2008-02-03,54,18
2008-02-10,61,12
2008-02-17,73,18
2008-02-24,73,10
2008-03-02,72,10
2008-03-09,60,13
2008-03-16,53,20
2008-03-23,47,15
2008-03-30,74,12
2008-04-06,68,12
2008-04-13,68,17
2008-04-20,82,18
2008-04-27,66,14
2008-05-04,89,12
2008-05-11,82,12
2008-05-18,90,14
2008-05-25,100,10
2008-06-01,95,12
2008-06-08,76,11
2008-06-15,69,12
2008-06-22,55,11
2008-06-29,50,11
2008-07-06,51,11
2008-07-13,60,11
2008-07-20,35,14
2008-07-27,31,11
2008-08-03,34,14
2008-08-10,28,13
2008-08-17,38,18
2008-08-24,32,16
2008-08-31,36,11
2008-09-07,39,12
2008-09-14,52,11
2008-09-21,59,13
2008-09-28,61,12
2008-10-05,66,9
2008-10-12,60,10
2008-10-19,58,11
2008-10-26,59,15
2008-11-02,53,9
2008-11-09,65,12
2008-11-16,72,11
2008-11-23,61,13
2008-11-30,57,13
2008-12-07,54,13
2008-12-14,63,13
2008-12-21,40,15
2008-12-28,51,35
