Category: All categories

Week,Amusement park: (Portugal)
2016-01-03,83
2016-01-10,51
2016-01-17,47
2016-01-24,30
2016-01-31,21
2016-02-07,21
2016-02-14,34
2016-02-21,59
2016-02-28,35
2016-03-06,47
2016-03-13,25
2016-03-20,44
2016-03-27,46
2016-04-03,38
2016-04-10,68
2016-04-17,31
2016-04-24,39
2016-05-01,47
2016-05-08,70
2016-05-15,62
2016-05-22,64
2016-05-29,45
2016-06-05,29
2016-06-12,65
2016-06-19,42
2016-06-26,73
2016-07-03,77
2016-07-10,71
2016-07-17,55
2016-07-24,78
2016-07-31,71
2016-08-07,39
2016-08-14,100
2016-08-21,55
2016-08-28,35
2016-09-04,53
2016-09-11,27
2016-09-18,37
2016-09-25,33
2016-10-02,46
2016-10-09,33
2016-10-16,44
2016-10-23,54
2016-10-30,34
2016-11-06,0
2016-11-13,12
2016-11-20,32
2016-11-27,37
2016-12-04,45
2016-12-11,44
2016-12-18,53
2016-12-25,72
