Category: All categories

Week,Energy: (Portugal),Wi-Fi: (Portugal)
2018-01-07,82,67
2018-01-14,88,67
2018-01-21,85,67
2018-01-28,79,67
2018-02-04,74,66
2018-02-11,71,59
2018-02-18,82,57
2018-02-25,80,58
2018-03-04,82,60
2018-03-11,96,66
2018-03-18,84,64
2018-03-25,86,67
2018-04-01,83,62
2018-04-08,79,60
2018-04-15,89,58
2018-04-22,85,65
2018-04-29,91,67
2018-05-06,79,54
2018-05-13,81,53
2018-05-20,93,52
2018-05-27,78,66
2018-06-03,100,63
2018-06-10,83,56
2018-06-17,67,63
2018-06-24,59,68
2018-07-01,58,65
2018-07-08,55,60
2018-07-15,60,69
2018-07-22,59,61
2018-07-29,56,70
2018-08-05,51,77
2018-08-12,53,74
2018-08-19,56,68
2018-08-26,54,69
2018-09-02,59,64
2018-09-09,57,74
2018-09-16,59,74
2018-09-23,76,70
2018-09-30,69,65
2018-10-07,89,59
2018-10-14,74,62
2018-10-21,76,64
2018-10-28,68,59
2018-11-04,75,68
2018-11-11,77,68
2018-11-18,79,76
2018-11-25,81,74
2018-12-02,82,56
2018-12-09,67,60
2018-12-16,63,68
2018-12-23,50,83
2018-12-30,65,68
