Category: All categories

Week,Nightclub: (Portugal)
2015-01-04,42
2015-01-11,29
2015-01-18,41
2015-01-25,33
2015-02-01,37
2015-02-08,34
2015-02-15,49
2015-02-22,42
2015-03-01,41
2015-03-08,43
2015-03-15,29
2015-03-22,39
2015-03-29,35
2015-04-05,40
2015-04-12,40
2015-04-19,37
2015-04-26,51
2015-05-03,45
2015-05-10,41
2015-05-17,41
2015-05-24,33
2015-05-31,33
2015-06-07,42
2015-06-14,46
2015-06-21,43
2015-06-28,40
2015-07-05,43
2015-07-12,49
2015-07-19,50
2015-07-26,48
2015-08-02,69
2015-08-09,76
2015-08-16,63
2015-08-23,57
2015-08-30,45
2015-09-06,40
2015-09-13,34
2015-09-20,37
2015-09-27,37
2015-10-04,27
2015-10-11,37
2015-10-18,41
2015-10-25,39
2015-11-01,43
2015-11-08,42
2015-11-15,28
2015-11-22,31
2015-11-29,28
2015-12-06,48
2015-12-13,48
2015-12-20,53
2015-12-27,67
2016-01-03,35
2016-01-10,36
2016-01-17,30
2016-01-24,30
2016-01-31,43
2016-02-07,43
2016-02-14,33
2016-02-21,44
2016-02-28,40
2016-03-06,33
2016-03-13,38
2016-03-20,41
2016-03-27,44
2016-04-03,33
2016-04-10,40
2016-04-17,35
2016-04-24,85
2016-05-01,50
2016-05-08,32
2016-05-15,40
2016-05-22,43
2016-05-29,32
2016-06-05,46
2016-06-12,42
2016-06-19,32
2016-06-26,47
2016-07-03,48
2016-07-10,44
2016-07-17,48
2016-07-24,64
2016-07-31,78
2016-08-07,72
2016-08-14,64
2016-08-21,65
2016-08-28,56
2016-09-04,49
2016-09-11,50
2016-09-18,43
2016-09-25,54
2016-10-02,43
2016-10-09,36
2016-10-16,36
2016-10-23,35
2016-10-30,30
2016-11-06,41
2016-11-13,47
2016-11-20,42
2016-11-27,46
2016-12-04,79
2016-12-11,64
2016-12-18,50
2016-12-25,100
