Category: All categories

Week,Energy: (Portugal),Veterinarians: (Portugal)
2017-01-01,62,21
2017-01-08,81,24
2017-01-15,92,13
2017-01-22,79,19
2017-01-29,78,16
2017-02-05,77,17
2017-02-12,76,14
2017-02-19,77,20
2017-02-26,77,17
2017-03-05,85,17
2017-03-12,88,17
2017-03-19,80,17
2017-03-26,88,18
2017-04-02,68,20
2017-04-09,67,20
2017-04-16,66,14
2017-04-23,77,13
2017-04-30,82,19
2017-05-07,85,17
2017-05-14,87,19
2017-05-21,86,19
2017-05-28,100,19
2017-06-04,88,22
2017-06-11,75,16
2017-06-18,58,22
2017-06-25,57,18
2017-07-02,65,22
2017-07-09,53,21
2017-07-16,61,20
2017-07-23,48,21
2017-07-30,53,21
2017-08-06,47,21
2017-08-13,47,19
2017-08-20,50,21
2017-08-27,52,19
2017-09-03,53,22
2017-09-10,54,17
2017-09-17,60,23
2017-09-24,63,18
2017-10-01,61,16
2017-10-08,67,17
2017-10-15,73,16
2017-10-22,66,18
2017-10-29,62,14
2017-11-05,69,20
2017-11-12,85,17
2017-11-19,68,18
2017-11-26,72,20
2017-12-03,64,16
2017-12-10,74,16
2017-12-17,57,16
2017-12-24,64,22
2017-12-31,77,21
