Category: All categories

Week,Travel agency: (Portugal)
2009-01-04,74
2009-01-11,72
2009-01-18,56
2009-01-25,53
2009-02-01,57
2009-02-08,63
2009-02-15,59
2009-02-22,74
2009-03-01,87
2009-03-08,79
2009-03-15,65
2009-03-22,95
2009-03-29,82
2009-04-05,92
2009-04-12,94
2009-04-19,92
2009-04-26,74
2009-05-03,81
2009-05-10,81
2009-05-17,100
2009-05-24,72
2009-05-31,82
2009-06-07,59
2009-06-14,77
2009-06-21,74
2009-06-28,84
2009-07-05,82
2009-07-12,88
2009-07-19,72
2009-07-26,76
2009-08-02,75
2009-08-09,64
2009-08-16,72
2009-08-23,67
2009-08-30,48
2009-09-06,62
2009-09-13,50
2009-09-20,60
2009-09-27,37
2009-10-04,61
2009-10-11,40
2009-10-18,36
2009-10-25,38
2009-11-01,33
2009-11-08,34
2009-11-15,29
2009-11-22,38
2009-11-29,39
2009-12-06,48
2009-12-13,32
2009-12-20,32
2009-12-27,35
