Category: All categories

Week,Hairdresser: (Portugal)
2015-01-04,68
2015-01-11,54
2015-01-18,67
2015-01-25,65
2015-02-01,68
2015-02-08,65
2015-02-15,75
2015-02-22,71
2015-03-01,60
2015-03-08,68
2015-03-15,60
2015-03-22,67
2015-03-29,69
2015-04-05,70
2015-04-12,72
2015-04-19,64
2015-04-26,66
2015-05-03,64
2015-05-10,60
2015-05-17,70
2015-05-24,75
2015-05-31,78
2015-06-07,67
2015-06-14,82
2015-06-21,67
2015-06-28,71
2015-07-05,76
2015-07-12,73
2015-07-19,83
2015-07-26,73
2015-08-02,74
2015-08-09,91
2015-08-16,90
2015-08-23,95
2015-08-30,79
2015-09-06,80
2015-09-13,77
2015-09-20,78
2015-09-27,76
2015-10-04,86
2015-10-11,72
2015-10-18,61
2015-10-25,66
2015-11-01,78
2015-11-08,64
2015-11-15,69
2015-11-22,70
2015-11-29,67
2015-12-06,79
2015-12-13,64
2015-12-20,76
2015-12-27,84
2016-01-03,59
2016-01-10,63
2016-01-17,63
2016-01-24,73
2016-01-31,71
2016-02-07,68
2016-02-14,64
2016-02-21,70
2016-02-28,79
2016-03-06,78
2016-03-13,70
2016-03-20,76
2016-03-27,75
2016-04-03,72
2016-04-10,73
2016-04-17,63
2016-04-24,73
2016-05-01,66
2016-05-08,76
2016-05-15,76
2016-05-22,81
2016-05-29,80
2016-06-05,71
2016-06-12,78
2016-06-19,71
2016-06-26,85
2016-07-03,77
2016-07-10,90
2016-07-17,81
2016-07-24,91
2016-07-31,100
2016-08-07,92
2016-08-14,86
2016-08-21,91
2016-08-28,98
2016-09-04,86
2016-09-11,88
2016-09-18,80
2016-09-25,81
2016-10-02,79
2016-10-09,77
2016-10-16,74
2016-10-23,75
2016-10-30,70
2016-11-06,72
2016-11-13,56
2016-11-20,71
2016-11-27,66
2016-12-04,71
2016-12-11,80
2016-12-18,83
2016-12-25,81
