Category: All categories

Week,Video game: (Portugal)
2008-01-06,46
2008-01-13,52
2008-01-20,46
2008-01-27,51
2008-02-03,57
2008-02-10,45
2008-02-17,48
2008-02-24,46
2008-03-02,46
2008-03-09,51
2008-03-16,68
2008-03-23,56
2008-03-30,46
2008-04-06,43
2008-04-13,47
2008-04-20,52
2008-04-27,50
2008-05-04,43
2008-05-11,47
2008-05-18,50
2008-05-25,44
2008-06-01,46
2008-06-08,57
2008-06-15,51
2008-06-22,54
2008-06-29,59
2008-07-06,56
2008-07-13,53
2008-07-20,54
2008-07-27,57
2008-08-03,63
2008-08-10,68
2008-08-17,65
2008-08-24,63
2008-08-31,63
2008-09-07,58
2008-09-14,50
2008-09-21,50
2008-09-28,47
2008-10-05,46
2008-10-12,50
2008-10-19,48
2008-10-26,49
2008-11-02,57
2008-11-09,53
2008-11-16,49
2008-11-23,57
2008-11-30,65
2008-12-07,63
2008-12-14,73
2008-12-21,100
2008-12-28,91
