Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2009-01-04,93,9
2009-01-11,78,10
2009-01-18,71,5
2009-01-25,73,8
2009-02-01,67,6
2009-02-08,72,6
2009-02-15,90,6
2009-02-22,71,4
2009-03-01,100,7
2009-03-08,88,3
2009-03-15,82,7
2009-03-22,89,8
2009-03-29,58,5
2009-04-05,60,4
2009-04-12,79,5
2009-04-19,79,7
2009-04-26,79,7
2009-05-03,82,4
2009-05-10,77,4
2009-05-17,76,6
2009-05-24,96,5
2009-05-31,77,1
2009-06-07,58,3
2009-06-14,71,3
2009-06-21,52,4
2009-06-28,53,6
2009-07-05,57,3
2009-07-12,50,3
2009-07-19,44,3
2009-07-26,44,3
2009-08-02,40,2
2009-08-09,39,4
2009-08-16,33,7
2009-08-23,35,5
2009-08-30,40,5
2009-09-06,31,6
2009-09-13,48,4
2009-09-20,49,7
2009-09-27,53,2
2009-10-04,51,6
2009-10-11,55,3
2009-10-18,63,12
2009-10-25,58,7
2009-11-01,67,2
2009-11-08,66,4
2009-11-15,70,4
2009-11-22,60,10
2009-11-29,55,7
2009-12-06,58,7
2009-12-13,61,7
2009-12-20,32,10
2009-12-27,36,4
