Category: All categories

Week,Video game: (Portugal)
2010-01-03,79
2010-01-10,88
2010-01-17,81
2010-01-24,75
2010-01-31,78
2010-02-07,78
2010-02-14,94
2010-02-21,71
2010-02-28,73
2010-03-07,68
2010-03-14,69
2010-03-21,79
2010-03-28,100
2010-04-04,89
2010-04-11,65
2010-04-18,66
2010-04-25,66
2010-05-02,69
2010-05-09,69
2010-05-16,65
2010-05-23,67
2010-05-30,75
2010-06-06,78
2010-06-13,75
2010-06-20,77
2010-06-27,76
2010-07-04,72
2010-07-11,76
2010-07-18,78
2010-07-25,74
2010-08-01,80
2010-08-08,76
2010-08-15,83
2010-08-22,78
2010-08-29,81
2010-09-05,65
2010-09-12,58
2010-09-19,59
2010-09-26,62
2010-10-03,67
2010-10-10,62
2010-10-17,55
2010-10-24,61
2010-10-31,61
2010-11-07,57
2010-11-14,56
2010-11-21,60
2010-11-28,65
2010-12-05,70
2010-12-12,65
2010-12-19,95
2010-12-26,90
