Category: All categories

Week,Travel agency: (Portugal)
2007-01-07,88
2007-01-14,67
2007-01-21,54
2007-01-28,81
2007-02-04,58
2007-02-11,66
2007-02-18,81
2007-02-25,74
2007-03-04,69
2007-03-11,73
2007-03-18,86
2007-03-25,89
2007-04-01,81
2007-04-08,93
2007-04-15,67
2007-04-22,92
2007-04-29,54
2007-05-06,64
2007-05-13,68
2007-05-20,77
2007-05-27,68
2007-06-03,76
2007-06-10,83
2007-06-17,77
2007-06-24,83
2007-07-01,75
2007-07-08,87
2007-07-15,86
2007-07-22,100
2007-07-29,75
2007-08-05,92
2007-08-12,69
2007-08-19,76
2007-08-26,69
2007-09-02,69
2007-09-09,45
2007-09-16,49
2007-09-23,38
2007-09-30,38
2007-10-07,48
2007-10-14,49
2007-10-21,46
2007-10-28,47
2007-11-04,35
2007-11-11,49
2007-11-18,27
2007-11-25,28
2007-12-02,33
2007-12-09,38
2007-12-16,43
2007-12-23,29
2007-12-30,40
2008-01-06,64
2008-01-13,59
2008-01-20,46
2008-01-27,61
2008-02-03,43
2008-02-10,49
2008-02-17,48
2008-02-24,52
2008-03-02,62
2008-03-09,51
2008-03-16,64
2008-03-23,65
2008-03-30,66
2008-04-06,55
2008-04-13,61
2008-04-20,62
2008-04-27,57
2008-05-04,56
2008-05-11,56
2008-05-18,60
2008-05-25,49
2008-06-01,64
2008-06-08,45
2008-06-15,69
2008-06-22,60
2008-06-29,58
2008-07-06,77
2008-07-13,73
2008-07-20,88
2008-07-27,95
2008-08-03,94
2008-08-10,60
2008-08-17,68
2008-08-24,50
2008-08-31,56
2008-09-07,41
2008-09-14,49
2008-09-21,42
2008-09-28,37
2008-10-05,26
2008-10-12,31
2008-10-19,34
2008-10-26,28
2008-11-02,36
2008-11-09,29
2008-11-16,29
2008-11-23,35
2008-11-30,29
2008-12-07,32
2008-12-14,23
2008-12-21,19
2008-12-28,28
