Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2015-01-04,26,70
2015-01-11,30,74
2015-01-18,28,66
2015-01-25,26,70
2015-02-01,23,65
2015-02-08,23,69
2015-02-15,21,79
2015-02-22,28,60
2015-03-01,25,62
2015-03-08,25,57
2015-03-15,25,62
2015-03-22,21,80
2015-03-29,17,80
2015-04-05,22,65
2015-04-12,25,57
2015-04-19,23,59
2015-04-26,22,67
2015-05-03,23,56
2015-05-10,25,57
2015-05-17,23,60
2015-05-24,25,57
2015-05-31,21,56
2015-06-07,23,64
2015-06-14,20,74
2015-06-21,17,73
2015-06-28,17,73
2015-07-05,15,74
2015-07-12,16,72
2015-07-19,15,70
2015-07-26,17,71
2015-08-02,12,74
2015-08-09,13,71
2015-08-16,14,71
2015-08-23,13,78
2015-08-30,17,77
2015-09-06,17,74
2015-09-13,15,69
2015-09-20,17,57
2015-09-27,20,59
2015-10-04,19,56
2015-10-11,20,56
2015-10-18,19,55
2015-10-25,21,56
2015-11-01,21,61
2015-11-08,19,60
2015-11-15,19,58
2015-11-22,22,59
2015-11-29,21,61
2015-12-06,19,67
2015-12-13,20,73
2015-12-20,12,100
2015-12-27,16,83
