Category: All categories

Week,Energy: (Portugal),Juice: (Portugal)
2015-01-04,87,16
2015-01-11,100,18
2015-01-18,93,14
2015-01-25,85,13
2015-02-01,75,10
2015-02-08,76,14
2015-02-15,70,9
2015-02-22,92,13
2015-03-01,84,11
2015-03-08,83,14
2015-03-15,84,11
2015-03-22,69,15
2015-03-29,58,17
2015-04-05,73,25
2015-04-12,82,24
2015-04-19,78,16
2015-04-26,73,16
2015-05-03,77,12
2015-05-10,84,15
2015-05-17,78,18
2015-05-24,84,18
2015-05-31,71,18
2015-06-07,75,17
2015-06-14,65,17
2015-06-21,56,17
2015-06-28,57,13
2015-07-05,50,15
2015-07-12,52,23
2015-07-19,48,18
2015-07-26,56,16
2015-08-02,41,16
2015-08-09,43,15
2015-08-16,46,19
2015-08-23,44,14
2015-08-30,55,13
2015-09-06,55,11
2015-09-13,50,15
2015-09-20,58,16
2015-09-27,65,16
2015-10-04,62,10
2015-10-11,67,12
2015-10-18,64,9
2015-10-25,69,10
2015-11-01,69,11
2015-11-08,62,9
2015-11-15,62,10
2015-11-22,71,9
2015-11-29,71,10
2015-12-06,63,10
2015-12-13,66,7
2015-12-20,39,8
2015-12-27,54,13
