Category: All categories

Week,Potato: (Portugal)
2011-01-02,46
2011-01-09,57
2011-01-16,58
2011-01-23,62
2011-01-30,61
2011-02-06,46
2011-02-13,52
2011-02-20,54
2011-02-27,60
2011-03-06,57
2011-03-13,46
2011-03-20,52
2011-03-27,50
2011-04-03,49
2011-04-10,43
2011-04-17,51
2011-04-24,51
2011-05-01,45
2011-05-08,52
2011-05-15,52
2011-05-22,39
2011-05-29,34
2011-06-05,39
2011-06-12,40
2011-06-19,42
2011-06-26,35
2011-07-03,45
2011-07-10,42
2011-07-17,56
2011-07-24,57
2011-07-31,51
2011-08-07,54
2011-08-14,47
2011-08-21,57
2011-08-28,62
2011-09-04,61
2011-09-11,49
2011-09-18,54
2011-09-25,65
2011-10-02,48
2011-10-09,76
2011-10-16,67
2011-10-23,74
2011-10-30,85
2011-11-06,79
2011-11-13,74
2011-11-20,53
2011-11-27,86
2011-12-04,59
2011-12-11,70
2011-12-18,78
2011-12-25,84
2012-01-01,56
2012-01-08,80
2012-01-15,70
2012-01-22,68
2012-01-29,68
2012-02-05,61
2012-02-12,82
2012-02-19,74
2012-02-26,77
2012-03-04,77
2012-03-11,72
2012-03-18,67
2012-03-25,61
2012-04-01,73
2012-04-08,59
2012-04-15,68
2012-04-22,75
2012-04-29,68
2012-05-06,65
2012-05-13,55
2012-05-20,52
2012-05-27,63
2012-06-03,50
2012-06-10,67
2012-06-17,64
2012-06-24,57
2012-07-01,53
2012-07-08,62
2012-07-15,67
2012-07-22,68
2012-07-29,58
2012-08-05,59
2012-08-12,55
2012-08-19,63
2012-08-26,61
2012-09-02,63
2012-09-09,75
2012-09-16,69
2012-09-23,59
2012-09-30,65
2012-10-07,72
2012-10-14,94
2012-10-21,84
2012-10-28,100
2012-11-04,83
2012-11-11,86
2012-11-18,87
2012-11-25,87
2012-12-02,79
2012-12-09,79
2012-12-16,96
2012-12-23,99
2012-12-30,86
