Category: All categories

Week,Health care: (Portugal)
2007-01-07,45
2007-01-14,51
2007-01-21,0
2007-01-28,22
2007-02-04,100
2007-02-11,31
2007-02-18,84
2007-02-25,29
2007-03-04,0
2007-03-11,41
2007-03-18,35
2007-03-25,30
2007-04-01,33
2007-04-08,73
2007-04-15,28
2007-04-22,32
2007-04-29,56
2007-05-06,0
2007-05-13,68
2007-05-20,0
2007-05-27,0
2007-06-03,41
2007-06-10,0
2007-06-17,25
2007-06-24,26
2007-07-01,0
2007-07-08,0
2007-07-15,95
2007-07-22,0
2007-07-29,21
2007-08-05,21
2007-08-12,35
2007-08-19,0
2007-08-26,30
2007-09-02,33
2007-09-09,0
2007-09-16,38
2007-09-23,22
2007-09-30,0
2007-10-07,34
2007-10-14,0
2007-10-21,27
2007-10-28,0
2007-11-04,36
2007-11-11,42
2007-11-18,0
2007-11-25,61
2007-12-02,35
2007-12-09,26
2007-12-16,0
2007-12-23,0
2007-12-30,20
