Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2011-01-02,66,4
2011-01-09,82,4
2011-01-16,79,2
2011-01-23,77,0
2011-01-30,74,3
2011-02-06,81,2
2011-02-13,72,0
2011-02-20,83,1
2011-02-27,76,1
2011-03-06,64,2
2011-03-13,87,3
2011-03-20,80,2
2011-03-27,76,3
2011-04-03,69,0
2011-04-10,53,6
2011-04-17,58,8
2011-04-24,73,2
2011-05-01,82,2
2011-05-08,83,7
2011-05-15,93,3
2011-05-22,100,4
2011-05-29,98,5
2011-06-05,89,4
2011-06-12,98,5
2011-06-19,80,6
2011-06-26,100,3
2011-07-03,83,3
2011-07-10,81,4
2011-07-17,92,3
2011-07-24,78,7
2011-07-31,56,5
2011-08-07,46,6
2011-08-14,43,5
2011-08-21,52,6
2011-08-28,44,2
2011-09-04,52,2
2011-09-11,49,3
2011-09-18,58,0
2011-09-25,61,1
2011-10-02,65,2
2011-10-09,61,3
2011-10-16,73,2
2011-10-23,64,2
2011-10-30,58,2
2011-11-06,68,2
2011-11-13,71,1
2011-11-20,65,2
2011-11-27,62,0
2011-12-04,58,4
2011-12-11,67,2
2011-12-18,40,2
2011-12-25,51,1
