Category: All categories

Week,Mobile phone: (Portugal)
2014-01-05,86
2014-01-12,77
2014-01-19,77
2014-01-26,75
2014-02-02,74
2014-02-09,80
2014-02-16,75
2014-02-23,78
2014-03-02,77
2014-03-09,73
2014-03-16,69
2014-03-23,71
2014-03-30,72
2014-04-06,68
2014-04-13,68
2014-04-20,75
2014-04-27,67
2014-05-04,71
2014-05-11,69
2014-05-18,68
2014-05-25,70
2014-06-01,72
2014-06-08,73
2014-06-15,72
2014-06-22,78
2014-06-29,75
2014-07-06,76
2014-07-13,80
2014-07-20,83
2014-07-27,91
2014-08-03,85
2014-08-10,87
2014-08-17,81
2014-08-24,86
2014-08-31,84
2014-09-07,85
2014-09-14,77
2014-09-21,77
2014-09-28,75
2014-10-05,76
2014-10-12,80
2014-10-19,76
2014-10-26,76
2014-11-02,78
2014-11-09,75
2014-11-16,78
2014-11-23,83
2014-11-30,85
2014-12-07,86
2014-12-14,83
2014-12-21,100
2014-12-28,93
