Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2006-01-01,31,88
2006-01-08,32,80
2006-01-15,29,82
2006-01-22,25,81
2006-01-29,28,74
2006-02-05,30,68
2006-02-12,21,71
2006-02-19,32,67
2006-02-26,27,65
2006-03-05,26,68
2006-03-12,27,68
2006-03-19,29,57
2006-03-26,24,66
2006-04-02,21,65
2006-04-09,20,63
2006-04-16,30,63
2006-04-23,30,58
2006-04-30,40,61
2006-05-07,44,60
2006-05-14,41,57
2006-05-21,48,57
2006-05-28,36,62
2006-06-04,46,53
2006-06-11,29,58
2006-06-18,20,59
2006-06-25,18,66
2006-07-02,16,66
2006-07-09,16,67
2006-07-16,16,73
2006-07-23,16,78
2006-07-30,14,81
2006-08-06,15,76
2006-08-13,13,85
2006-08-20,12,70
2006-08-27,17,83
2006-09-03,12,77
2006-09-10,13,83
2006-09-17,19,68
2006-09-24,25,69
2006-10-01,29,72
2006-10-08,26,56
2006-10-15,25,59
2006-10-22,30,58
2006-10-29,23,65
2006-11-05,26,60
2006-11-12,22,64
2006-11-19,27,70
2006-11-26,24,74
2006-12-03,22,74
2006-12-10,23,72
2006-12-17,15,88
2006-12-24,14,100
2006-12-31,19,76
