Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2012-01-01,74,18
2012-01-08,85,21
2012-01-15,84,23
2012-01-22,81,16
2012-01-29,70,16
2012-02-05,81,19
2012-02-12,73,19
2012-02-19,64,20
2012-02-26,77,18
2012-03-04,77,21
2012-03-11,84,18
2012-03-18,81,22
2012-03-25,64,26
2012-04-01,53,25
2012-04-08,68,20
2012-04-15,89,14
2012-04-22,75,21
2012-04-29,81,12
2012-05-06,90,15
2012-05-13,97,16
2012-05-20,95,19
2012-05-27,100,16
2012-06-03,83,20
2012-06-10,77,15
2012-06-17,67,18
2012-06-24,72,18
2012-07-01,67,24
2012-07-08,60,21
2012-07-15,51,18
2012-07-22,46,19
2012-07-29,42,23
2012-08-05,42,23
2012-08-12,41,20
2012-08-19,45,19
2012-08-26,46,22
2012-09-02,46,24
2012-09-09,58,23
2012-09-16,66,18
2012-09-23,56,22
2012-09-30,52,19
2012-10-07,58,19
2012-10-14,61,21
2012-10-21,62,23
2012-10-28,63,24
2012-11-04,67,18
2012-11-11,63,15
2012-11-18,66,17
2012-11-25,71,16
2012-12-02,69,21
2012-12-09,67,18
2012-12-16,56,14
2012-12-23,64,17
2012-12-30,72,19
