Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2011-01-02,8,53
2011-01-09,10,59
2011-01-16,10,61
2011-01-23,10,55
2011-01-30,9,71
2011-02-06,10,59
2011-02-13,9,69
2011-02-20,10,73
2011-02-27,9,60
2011-03-06,8,79
2011-03-13,11,67
2011-03-20,10,56
2011-03-27,9,46
2011-04-03,9,71
2011-04-10,7,62
2011-04-17,7,100
2011-04-24,9,64
2011-05-01,10,57
2011-05-08,10,51
2011-05-15,12,45
2011-05-22,12,41
2011-05-29,12,44
2011-06-05,11,38
2011-06-12,12,37
2011-06-19,10,39
2011-06-26,12,37
2011-07-03,10,46
2011-07-10,10,54
2011-07-17,11,55
2011-07-24,10,50
2011-07-31,7,59
2011-08-07,6,51
2011-08-14,5,79
2011-08-21,6,57
2011-08-28,5,54
2011-09-04,6,59
2011-09-11,6,69
2011-09-18,7,82
2011-09-25,8,66
2011-10-02,8,62
2011-10-09,8,56
2011-10-16,9,64
2011-10-23,8,58
2011-10-30,7,79
2011-11-06,8,66
2011-11-13,9,53
2011-11-20,8,78
2011-11-27,8,56
2011-12-04,7,68
2011-12-11,8,57
2011-12-18,5,52
2011-12-25,6,47
