Category: All categories

Week,Used car: (Portugal)
2013-01-06,68
2013-01-13,72
2013-01-20,65
2013-01-27,71
2013-02-03,69
2013-02-10,64
2013-02-17,68
2013-02-24,66
2013-03-03,72
2013-03-10,72
2013-03-17,72
2013-03-24,77
2013-03-31,71
2013-04-07,63
2013-04-14,72
2013-04-21,66
2013-04-28,74
2013-05-05,64
2013-05-12,74
2013-05-19,84
2013-05-26,68
2013-06-02,71
2013-06-09,76
2013-06-16,71
2013-06-23,62
2013-06-30,66
2013-07-07,70
2013-07-14,76
2013-07-21,83
2013-07-28,79
2013-08-04,90
2013-08-11,94
2013-08-18,83
2013-08-25,93
2013-09-01,99
2013-09-08,90
2013-09-15,96
2013-09-22,92
2013-09-29,87
2013-10-06,86
2013-10-13,91
2013-10-20,73
2013-10-27,70
2013-11-03,78
2013-11-10,72
2013-11-17,77
2013-11-24,75
2013-12-01,71
2013-12-08,69
2013-12-15,75
2013-12-22,87
2013-12-29,90
2014-01-05,81
2014-01-12,85
2014-01-19,86
2014-01-26,93
2014-02-02,84
2014-02-09,74
2014-02-16,82
2014-02-23,86
2014-03-02,72
2014-03-09,75
2014-03-16,73
2014-03-23,71
2014-03-30,68
2014-04-06,68
2014-04-13,73
2014-04-20,74
2014-04-27,79
2014-05-04,76
2014-05-11,78
2014-05-18,80
2014-05-25,81
2014-06-01,73
2014-06-08,81
2014-06-15,76
2014-06-22,80
2014-06-29,71
2014-07-06,77
2014-07-13,77
2014-07-20,87
2014-07-27,80
2014-08-03,72
2014-08-10,88
2014-08-17,100
2014-08-24,100
2014-08-31,85
2014-09-07,88
2014-09-14,90
2014-09-21,93
2014-09-28,90
2014-10-05,84
2014-10-12,87
2014-10-19,100
2014-10-26,78
2014-11-02,87
2014-11-09,80
2014-11-16,88
2014-11-23,71
2014-11-30,78
2014-12-07,70
2014-12-14,70
2014-12-21,83
2014-12-28,86
