Category: All categories

Week,Television: (Portugal)
2012-01-01,65
2012-01-08,55
2012-01-15,69
2012-01-22,72
2012-01-29,62
2012-02-05,60
2012-02-12,67
2012-02-19,76
2012-02-26,75
2012-03-04,73
2012-03-11,68
2012-03-18,67
2012-03-25,76
2012-04-01,63
2012-04-08,79
2012-04-15,66
2012-04-22,66
2012-04-29,67
2012-05-06,48
2012-05-13,47
2012-05-20,43
2012-05-27,40
2012-06-03,56
2012-06-10,67
2012-06-17,46
2012-06-24,39
2012-07-01,38
2012-07-08,43
2012-07-15,51
2012-07-22,51
2012-07-29,48
2012-08-05,44
2012-08-12,53
2012-08-19,67
2012-08-26,74
2012-09-02,54
2012-09-09,51
2012-09-16,89
2012-09-23,82
2012-09-30,76
2012-10-07,91
2012-10-14,70
2012-10-21,100
2012-10-28,86
2012-11-04,87
2012-11-11,52
2012-11-18,53
2012-11-25,51
2012-12-02,65
2012-12-09,85
2012-12-16,58
2012-12-23,64
2012-12-30,75
