Category: All categories

Week,T-shirt: (Portugal)
2015-01-04,44
2015-01-11,50
2015-01-18,45
2015-01-25,56
2015-02-01,54
2015-02-08,49
2015-02-15,53
2015-02-22,57
2015-03-01,56
2015-03-08,63
2015-03-15,72
2015-03-22,52
2015-03-29,55
2015-04-05,59
2015-04-12,60
2015-04-19,63
2015-04-26,62
2015-05-03,55
2015-05-10,73
2015-05-17,86
2015-05-24,83
2015-05-31,76
2015-06-07,74
2015-06-14,69
2015-06-21,74
2015-06-28,67
2015-07-05,71
2015-07-12,67
2015-07-19,74
2015-07-26,68
2015-08-02,72
2015-08-09,62
2015-08-16,69
2015-08-23,67
2015-08-30,60
2015-09-06,54
2015-09-13,55
2015-09-20,52
2015-09-27,55
2015-10-04,55
2015-10-11,55
2015-10-18,49
2015-10-25,51
2015-11-01,42
2015-11-08,57
2015-11-15,60
2015-11-22,53
2015-11-29,55
2015-12-06,66
2015-12-13,54
2015-12-20,53
2015-12-27,46
2016-01-03,54
2016-01-10,53
2016-01-17,58
2016-01-24,52
2016-01-31,55
2016-02-07,53
2016-02-14,56
2016-02-21,53
2016-02-28,51
2016-03-06,56
2016-03-13,69
2016-03-20,58
2016-03-27,58
2016-04-03,65
2016-04-10,60
2016-04-17,68
2016-04-24,75
2016-05-01,81
2016-05-08,67
2016-05-15,84
2016-05-22,73
2016-05-29,78
2016-06-05,80
2016-06-12,81
2016-06-19,70
2016-06-26,89
2016-07-03,90
2016-07-10,100
2016-07-17,77
2016-07-24,80
2016-07-31,78
2016-08-07,77
2016-08-14,74
2016-08-21,83
2016-08-28,71
2016-09-04,64
2016-09-11,58
2016-09-18,68
2016-09-25,62
2016-10-02,67
2016-10-09,59
2016-10-16,61
2016-10-23,70
2016-10-30,64
2016-11-06,56
2016-11-13,59
2016-11-20,63
2016-11-27,74
2016-12-04,78
2016-12-11,85
2016-12-18,73
2016-12-25,71
