Category: All categories

Week,Energy: (Portugal),Offal: (Portugal)
2014-01-05,85,1
2014-01-12,80,0
2014-01-19,80,0
2014-01-26,82,0
2014-02-02,73,0
2014-02-09,80,0
2014-02-16,71,0
2014-02-23,76,1
2014-03-02,68,0
2014-03-09,72,0
2014-03-16,81,0
2014-03-23,86,0
2014-03-30,77,0
2014-04-06,62,0
2014-04-13,61,0
2014-04-20,67,0
2014-04-27,67,0
2014-05-04,79,0
2014-05-11,86,0
2014-05-18,99,0
2014-05-25,100,1
2014-06-01,97,0
2014-06-08,88,0
2014-06-15,84,0
2014-06-22,78,0
2014-06-29,69,0
2014-07-06,69,3
2014-07-13,61,1
2014-07-20,52,0
2014-07-27,51,0
2014-08-03,48,0
2014-08-10,41,0
2014-08-17,51,0
2014-08-24,46,0
2014-08-31,62,0
2014-09-07,56,0
2014-09-14,66,0
2014-09-21,66,0
2014-09-28,72,2
2014-10-05,79,0
2014-10-12,71,0
2014-10-19,64,0
2014-10-26,74,2
2014-11-02,72,0
2014-11-09,76,0
2014-11-16,67,0
2014-11-23,66,1
2014-11-30,63,0
2014-12-07,74,0
2014-12-14,65,0
2014-12-21,58,0
2014-12-28,73,0
