Category: All categories

Week,Gasoline: (Portugal)
2015-01-04,77
2015-01-11,80
2015-01-18,66
2015-01-25,71
2015-02-01,70
2015-02-08,82
2015-02-15,79
2015-02-22,86
2015-03-01,65
2015-03-08,66
2015-03-15,75
2015-03-22,77
2015-03-29,78
2015-04-05,68
2015-04-12,86
2015-04-19,70
2015-04-26,78
2015-05-03,61
2015-05-10,70
2015-05-17,73
2015-05-24,87
2015-05-31,66
2015-06-07,71
2015-06-14,62
2015-06-21,68
2015-06-28,73
2015-07-05,81
2015-07-12,72
2015-07-19,72
2015-07-26,98
2015-08-02,95
2015-08-09,94
2015-08-16,80
2015-08-23,84
2015-08-30,71
2015-09-06,85
2015-09-13,63
2015-09-20,93
2015-09-27,69
2015-10-04,62
2015-10-11,80
2015-10-18,71
2015-10-25,78
2015-11-01,58
2015-11-08,68
2015-11-15,60
2015-11-22,69
2015-11-29,71
2015-12-06,76
2015-12-13,80
2015-12-20,87
2015-12-27,76
2016-01-03,76
2016-01-10,81
2016-01-17,84
2016-01-24,75
2016-01-31,71
2016-02-07,81
2016-02-14,87
2016-02-21,74
2016-02-28,77
2016-03-06,65
2016-03-13,90
2016-03-20,79
2016-03-27,80
2016-04-03,85
2016-04-10,94
2016-04-17,72
2016-04-24,82
2016-05-01,84
2016-05-08,87
2016-05-15,75
2016-05-22,80
2016-05-29,89
2016-06-05,79
2016-06-12,75
2016-06-19,69
2016-06-26,85
2016-07-03,85
2016-07-10,83
2016-07-17,85
2016-07-24,74
2016-07-31,81
2016-08-07,89
2016-08-14,87
2016-08-21,83
2016-08-28,100
2016-09-04,83
2016-09-11,83
2016-09-18,76
2016-09-25,89
2016-10-02,80
2016-10-09,87
2016-10-16,73
2016-10-23,83
2016-10-30,78
2016-11-06,64
2016-11-13,85
2016-11-20,81
2016-11-27,99
2016-12-04,92
2016-12-11,89
2016-12-18,95
2016-12-25,98
