Category: All categories

Week,Margarine: (Portugal)
2016-01-03,58
2016-01-10,61
2016-01-17,81
2016-01-24,51
2016-01-31,64
2016-02-07,76
2016-02-14,51
2016-02-21,65
2016-02-28,45
2016-03-06,40
2016-03-13,93
2016-03-20,44
2016-03-27,0
2016-04-03,34
2016-04-10,42
2016-04-17,54
2016-04-24,64
2016-05-01,62
2016-05-08,78
2016-05-15,35
2016-05-22,34
2016-05-29,27
2016-06-05,0
2016-06-12,0
2016-06-19,58
2016-06-26,28
2016-07-03,0
2016-07-10,39
2016-07-17,28
2016-07-24,27
2016-07-31,0
2016-08-07,49
2016-08-14,22
2016-08-21,0
2016-08-28,28
2016-09-04,94
2016-09-11,35
2016-09-18,19
2016-09-25,58
2016-10-02,26
2016-10-09,100
2016-10-16,51
2016-10-23,53
2016-10-30,58
2016-11-06,48
2016-11-13,22
2016-11-20,54
2016-11-27,76
2016-12-04,44
2016-12-11,53
2016-12-18,81
2016-12-25,48
