Category: All categories

Week,Energy: (Portugal),Jam: (Portugal)
2016-01-03,65,19
2016-01-10,56,22
2016-01-17,60,23
2016-01-24,57,19
2016-01-31,54,22
2016-02-07,46,26
2016-02-14,56,23
2016-02-21,59,24
2016-02-28,63,20
2016-03-06,58,21
2016-03-13,54,23
2016-03-20,45,38
2016-03-27,47,21
2016-04-03,55,20
2016-04-10,61,23
2016-04-17,60,18
2016-04-24,60,19
2016-05-01,63,22
2016-05-08,67,21
2016-05-15,68,18
2016-05-22,65,19
2016-05-29,67,20
2016-06-05,53,17
2016-06-12,57,17
2016-06-19,39,19
2016-06-26,43,21
2016-07-03,40,18
2016-07-10,39,14
2016-07-17,41,18
2016-07-24,41,21
2016-07-31,34,21
2016-08-07,31,22
2016-08-14,31,24
2016-08-21,37,27
2016-08-28,44,32
2016-09-04,40,31
2016-09-11,41,32
2016-09-18,48,30
2016-09-25,51,34
2016-10-02,51,36
2016-10-09,50,37
2016-10-16,50,36
2016-10-23,53,38
2016-10-30,49,38
2016-11-06,60,30
2016-11-13,57,27
2016-11-20,54,29
2016-11-27,53,33
2016-12-04,47,40
2016-12-11,43,46
2016-12-18,35,100
2016-12-25,40,50
