Category: All categories

Week,Used car: (Portugal)
2008-01-06,98
2008-01-13,86
2008-01-20,100
2008-01-27,69
2008-02-03,97
2008-02-10,81
2008-02-17,85
2008-02-24,82
2008-03-02,75
2008-03-09,63
2008-03-16,71
2008-03-23,78
2008-03-30,66
2008-04-06,75
2008-04-13,73
2008-04-20,73
2008-04-27,60
2008-05-04,64
2008-05-11,76
2008-05-18,68
2008-05-25,58
2008-06-01,67
2008-06-08,70
2008-06-15,67
2008-06-22,58
2008-06-29,56
2008-07-06,62
2008-07-13,76
2008-07-20,74
2008-07-27,63
2008-08-03,62
2008-08-10,69
2008-08-17,73
2008-08-24,70
2008-08-31,62
2008-09-07,73
2008-09-14,76
2008-09-21,70
2008-09-28,65
2008-10-05,69
2008-10-12,68
2008-10-19,68
2008-10-26,62
2008-11-02,59
2008-11-09,55
2008-11-16,62
2008-11-23,65
2008-11-30,59
2008-12-07,64
2008-12-14,64
2008-12-21,83
2008-12-28,83
