Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2014-01-05,85,13
2014-01-12,80,14
2014-01-19,80,10
2014-01-26,82,17
2014-02-02,73,14
2014-02-09,80,14
2014-02-16,71,16
2014-02-23,76,13
2014-03-02,68,14
2014-03-09,72,13
2014-03-16,81,20
2014-03-23,86,23
2014-03-30,77,18
2014-04-06,62,15
2014-04-13,61,16
2014-04-20,67,15
2014-04-27,67,14
2014-05-04,79,18
2014-05-11,86,20
2014-05-18,99,17
2014-05-25,100,18
2014-06-01,97,15
2014-06-08,88,17
2014-06-15,84,17
2014-06-22,78,14
2014-06-29,69,20
2014-07-06,69,23
2014-07-13,61,21
2014-07-20,52,13
2014-07-27,51,18
2014-08-03,48,19
2014-08-10,41,18
2014-08-17,51,19
2014-08-24,46,15
2014-08-31,62,16
2014-09-07,56,11
2014-09-14,66,15
2014-09-21,66,12
2014-09-28,72,13
2014-10-05,79,8
2014-10-12,71,14
2014-10-19,64,11
2014-10-26,74,13
2014-11-02,72,10
2014-11-09,76,11
2014-11-16,67,6
2014-11-23,66,7
2014-11-30,63,9
2014-12-07,74,9
2014-12-14,65,7
2014-12-21,58,11
2014-12-28,73,7
