Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2014-01-05,53,83
2014-01-12,51,81
2014-01-19,51,82
2014-01-26,52,80
2014-02-02,46,82
2014-02-09,51,78
2014-02-16,45,88
2014-02-23,48,94
2014-03-02,43,82
2014-03-09,45,79
2014-03-16,51,81
2014-03-23,54,83
2014-03-30,49,80
2014-04-06,39,82
2014-04-13,38,79
2014-04-20,42,81
2014-04-27,43,85
2014-05-04,50,78
2014-05-11,54,80
2014-05-18,63,83
2014-05-25,63,84
2014-06-01,61,81
2014-06-08,55,71
2014-06-15,53,69
2014-06-22,49,76
2014-06-29,43,78
2014-07-06,44,81
2014-07-13,38,78
2014-07-20,33,86
2014-07-27,32,81
2014-08-03,30,93
2014-08-10,26,94
2014-08-17,32,89
2014-08-24,29,92
2014-08-31,39,83
2014-09-07,36,85
2014-09-14,41,93
2014-09-21,42,86
2014-09-28,45,90
2014-10-05,50,100
2014-10-12,45,86
2014-10-19,40,83
2014-10-26,47,86
2014-11-02,45,82
2014-11-09,48,90
2014-11-16,42,92
2014-11-23,42,76
2014-11-30,40,73
2014-12-07,46,70
2014-12-14,41,67
2014-12-21,36,60
2014-12-28,46,79
