Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2017-01-01,62,26
2017-01-08,81,29
2017-01-15,92,36
2017-01-22,79,37
2017-01-29,78,33
2017-02-05,77,41
2017-02-12,76,45
2017-02-19,77,36
2017-02-26,77,42
2017-03-05,85,32
2017-03-12,88,35
2017-03-19,80,33
2017-03-26,88,37
2017-04-02,68,35
2017-04-09,67,43
2017-04-16,66,29
2017-04-23,77,33
2017-04-30,82,34
2017-05-07,85,32
2017-05-14,87,33
2017-05-21,86,30
2017-05-28,100,34
2017-06-04,88,33
2017-06-11,75,37
2017-06-18,58,30
2017-06-25,57,29
2017-07-02,65,31
2017-07-09,53,35
2017-07-16,61,32
2017-07-23,48,29
2017-07-30,53,35
2017-08-06,47,35
2017-08-13,47,39
2017-08-20,50,35
2017-08-27,52,35
2017-09-03,53,31
2017-09-10,54,26
2017-09-17,60,28
2017-09-24,63,31
2017-10-01,61,33
2017-10-08,67,32
2017-10-15,73,30
2017-10-22,66,38
2017-10-29,62,42
2017-11-05,69,29
2017-11-12,85,33
2017-11-19,68,25
2017-11-26,72,29
2017-12-03,64,29
2017-12-10,74,36
2017-12-17,57,64
2017-12-24,64,59
2017-12-31,77,35
