Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2016-01-03,41,93
2016-01-10,35,90
2016-01-17,38,90
2016-01-24,35,94
2016-01-31,34,97
2016-02-07,29,96
2016-02-14,35,94
2016-02-21,37,100
2016-02-28,39,89
2016-03-06,36,85
2016-03-13,34,81
2016-03-20,28,73
2016-03-27,29,86
2016-04-03,34,90
2016-04-10,38,92
2016-04-17,37,98
2016-04-24,37,83
2016-05-01,39,85
2016-05-08,42,89
2016-05-15,43,84
2016-05-22,40,84
2016-05-29,42,81
2016-06-05,33,73
2016-06-12,36,73
2016-06-19,24,67
2016-06-26,27,68
2016-07-03,25,75
2016-07-10,24,77
2016-07-17,26,88
2016-07-24,26,79
2016-07-31,21,82
2016-08-07,19,80
2016-08-14,19,78
2016-08-21,23,87
2016-08-28,28,89
2016-09-04,25,87
2016-09-11,26,87
2016-09-18,30,88
2016-09-25,32,93
2016-10-02,32,97
2016-10-09,31,91
2016-10-16,31,77
2016-10-23,33,75
2016-10-30,30,77
2016-11-06,37,71
2016-11-13,36,76
2016-11-20,34,87
2016-11-27,33,73
2016-12-04,29,71
2016-12-11,27,70
2016-12-18,22,58
2016-12-25,25,68
