Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2010-01-03,65,2
2010-01-10,74,1
2010-01-17,70,0
2010-01-24,73,0
2010-01-31,73,1
2010-02-07,65,2
2010-02-14,55,1
2010-02-21,70,4
2010-02-28,65,3
2010-03-07,68,1
2010-03-14,67,1
2010-03-21,61,2
2010-03-28,43,0
2010-04-04,56,1
2010-04-11,74,1
2010-04-18,86,2
2010-04-25,69,1
2010-05-02,82,0
2010-05-09,77,1
2010-05-16,96,2
2010-05-23,100,2
2010-05-30,83,0
2010-06-06,65,3
2010-06-13,45,1
2010-06-20,42,2
2010-06-27,46,3
2010-07-04,46,0
2010-07-11,37,1
2010-07-18,36,0
2010-07-25,48,2
2010-08-01,39,2
2010-08-08,32,1
2010-08-15,37,0
2010-08-22,35,0
2010-08-29,31,0
2010-09-05,35,1
2010-09-12,50,2
2010-09-19,54,1
2010-09-26,49,2
2010-10-03,46,1
2010-10-10,59,0
2010-10-17,49,1
2010-10-24,55,4
2010-10-31,61,0
2010-11-07,61,0
2010-11-14,62,0
2010-11-21,58,0
2010-11-28,60,3
2010-12-05,56,2
2010-12-12,45,2
2010-12-19,33,1
2010-12-26,28,0
