Category: All categories

Week,Energy: (Portugal),Wi-Fi: (Portugal)
2015-01-04,87,44
2015-01-11,100,46
2015-01-18,93,51
2015-01-25,85,51
2015-02-01,75,46
2015-02-08,76,49
2015-02-15,70,49
2015-02-22,92,49
2015-03-01,84,55
2015-03-08,83,44
2015-03-15,84,46
2015-03-22,69,45
2015-03-29,58,53
2015-04-05,73,49
2015-04-12,82,47
2015-04-19,78,50
2015-04-26,73,48
2015-05-03,77,47
2015-05-10,84,49
2015-05-17,78,54
2015-05-24,84,52
2015-05-31,71,47
2015-06-07,75,53
2015-06-14,65,52
2015-06-21,56,52
2015-06-28,57,52
2015-07-05,50,55
2015-07-12,52,60
2015-07-19,48,65
2015-07-26,56,64
2015-08-02,41,76
2015-08-09,43,70
2015-08-16,46,72
2015-08-23,44,68
2015-08-30,55,60
2015-09-06,55,62
2015-09-13,50,63
2015-09-20,58,59
2015-09-27,65,59
2015-10-04,62,53
2015-10-11,67,52
2015-10-18,64,55
2015-10-25,69,59
2015-11-01,69,65
2015-11-08,62,59
2015-11-15,62,62
2015-11-22,71,62
2015-11-29,71,70
2015-12-06,63,75
2015-12-13,66,73
2015-12-20,39,79
2015-12-27,54,67
