Category: All categories

Week,Potato: (Portugal)
2017-01-01,78
2017-01-08,77
2017-01-15,79
2017-01-22,87
2017-01-29,83
2017-02-05,83
2017-02-12,73
2017-02-19,85
2017-02-26,80
2017-03-05,78
2017-03-12,80
2017-03-19,81
2017-03-26,71
2017-04-02,70
2017-04-09,75
2017-04-16,62
2017-04-23,69
2017-04-30,72
2017-05-07,71
2017-05-14,71
2017-05-21,66
2017-05-28,72
2017-06-04,70
2017-06-11,57
2017-06-18,57
2017-06-25,67
2017-07-02,62
2017-07-09,60
2017-07-16,56
2017-07-23,63
2017-07-30,57
2017-08-06,65
2017-08-13,64
2017-08-20,60
2017-08-27,68
2017-09-03,66
2017-09-10,65
2017-09-17,72
2017-09-24,75
2017-10-01,69
2017-10-08,86
2017-10-15,80
2017-10-22,90
2017-10-29,92
2017-11-05,83
2017-11-12,93
2017-11-19,89
2017-11-26,91
2017-12-03,89
2017-12-10,71
2017-12-17,100
2017-12-24,89
2017-12-31,81
