Category: All categories

Week,Real Estate: (Portugal)
2011-01-02,98
2011-01-09,93
2011-01-16,98
2011-01-23,94
2011-01-30,100
2011-02-06,98
2011-02-13,93
2011-02-20,99
2011-02-27,92
2011-03-06,93
2011-03-13,92
2011-03-20,91
2011-03-27,89
2011-04-03,81
2011-04-10,83
2011-04-17,84
2011-04-24,82
2011-05-01,84
2011-05-08,79
2011-05-15,84
2011-05-22,95
2011-05-29,85
2011-06-05,80
2011-06-12,88
2011-06-19,77
2011-06-26,77
2011-07-03,88
2011-07-10,84
2011-07-17,89
2011-07-24,82
2011-07-31,85
2011-08-07,92
2011-08-14,87
2011-08-21,96
2011-08-28,85
2011-09-04,81
2011-09-11,88
2011-09-18,82
2011-09-25,97
2011-10-02,90
2011-10-09,91
2011-10-16,77
2011-10-23,64
2011-10-30,68
2011-11-06,65
2011-11-13,71
2011-11-20,67
2011-11-27,65
2011-12-04,55
2011-12-11,62
2011-12-18,49
2011-12-25,67
