Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2014-01-05,85,62
2014-01-12,80,66
2014-01-19,80,67
2014-01-26,82,72
2014-02-02,73,69
2014-02-09,80,57
2014-02-16,71,65
2014-02-23,76,66
2014-03-02,68,54
2014-03-09,72,58
2014-03-16,81,57
2014-03-23,86,52
2014-03-30,77,52
2014-04-06,62,53
2014-04-13,61,56
2014-04-20,67,57
2014-04-27,67,61
2014-05-04,79,60
2014-05-11,86,58
2014-05-18,99,61
2014-05-25,100,62
2014-06-01,97,56
2014-06-08,88,62
2014-06-15,84,58
2014-06-22,78,58
2014-06-29,69,54
2014-07-06,69,59
2014-07-13,61,59
2014-07-20,52,66
2014-07-27,51,62
2014-08-03,48,56
2014-08-10,41,68
2014-08-17,51,77
2014-08-24,46,75
2014-08-31,62,66
2014-09-07,56,67
2014-09-14,66,67
2014-09-21,66,72
2014-09-28,72,68
2014-10-05,79,65
2014-10-12,71,68
2014-10-19,64,74
2014-10-26,74,59
2014-11-02,72,66
2014-11-09,76,61
2014-11-16,67,68
2014-11-23,66,57
2014-11-30,63,60
2014-12-07,74,52
2014-12-14,65,56
2014-12-21,58,63
2014-12-28,73,64
