Category: All categories

Week,Video game: (Portugal)
2014-01-05,73
2014-01-12,71
2014-01-19,74
2014-01-26,75
2014-02-02,74
2014-02-09,74
2014-02-16,74
2014-02-23,73
2014-03-02,82
2014-03-09,62
2014-03-16,62
2014-03-23,63
2014-03-30,71
2014-04-06,83
2014-04-13,82
2014-04-20,69
2014-04-27,63
2014-05-04,52
2014-05-11,57
2014-05-18,58
2014-05-25,61
2014-06-01,67
2014-06-08,75
2014-06-15,71
2014-06-22,75
2014-06-29,71
2014-07-06,76
2014-07-13,74
2014-07-20,73
2014-07-27,76
2014-08-03,76
2014-08-10,79
2014-08-17,77
2014-08-24,74
2014-08-31,73
2014-09-07,71
2014-09-14,61
2014-09-21,59
2014-09-28,61
2014-10-05,62
2014-10-12,61
2014-10-19,58
2014-10-26,53
2014-11-02,64
2014-11-09,59
2014-11-16,64
2014-11-23,64
2014-11-30,64
2014-12-07,71
2014-12-14,75
2014-12-21,100
2014-12-28,82
