Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2006-01-01,64,19
2006-01-08,66,19
2006-01-15,61,6
2006-01-22,51,13
2006-01-29,59,8
2006-02-05,64,18
2006-02-12,47,14
2006-02-19,66,11
2006-02-26,52,13
2006-03-05,65,11
2006-03-12,61,6
2006-03-19,61,5
2006-03-26,49,10
2006-04-02,44,9
2006-04-09,54,4
2006-04-16,65,9
2006-04-23,61,17
2006-04-30,76,8
2006-05-07,91,16
2006-05-14,91,11
2006-05-21,99,8
2006-05-28,73,9
2006-06-04,100,11
2006-06-11,65,12
2006-06-18,42,12
2006-06-25,34,7
2006-07-02,31,7
2006-07-09,35,0
2006-07-16,30,0
2006-07-23,37,5
2006-07-30,18,4
2006-08-06,32,8
2006-08-13,28,9
2006-08-20,22,10
2006-08-27,37,6
2006-09-03,27,8
2006-09-10,16,18
2006-09-17,46,13
2006-09-24,53,12
2006-10-01,64,8
2006-10-08,57,16
2006-10-15,55,8
2006-10-22,63,5
2006-10-29,52,6
2006-11-05,62,6
2006-11-12,48,7
2006-11-19,60,6
2006-11-26,52,13
2006-12-03,54,8
2006-12-10,52,9
2006-12-17,34,0
2006-12-24,27,10
2006-12-31,41,2
