Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2014-01-05,41,87
2014-01-12,39,89
2014-01-19,39,87
2014-01-26,40,86
2014-02-02,35,83
2014-02-09,39,88
2014-02-16,34,93
2014-02-23,37,95
2014-03-02,33,91
2014-03-09,35,86
2014-03-16,39,85
2014-03-23,42,82
2014-03-30,37,83
2014-04-06,30,85
2014-04-13,29,89
2014-04-20,33,84
2014-04-27,33,83
2014-05-04,38,79
2014-05-11,42,79
2014-05-18,48,83
2014-05-25,48,72
2014-06-01,47,84
2014-06-08,43,81
2014-06-15,41,74
2014-06-22,38,71
2014-06-29,33,79
2014-07-06,33,79
2014-07-13,30,74
2014-07-20,25,86
2014-07-27,25,78
2014-08-03,23,77
2014-08-10,20,77
2014-08-17,25,82
2014-08-24,22,87
2014-08-31,30,83
2014-09-07,27,82
2014-09-14,32,83
2014-09-21,32,81
2014-09-28,35,81
2014-10-05,38,86
2014-10-12,34,95
2014-10-19,31,85
2014-10-26,36,84
2014-11-02,35,92
2014-11-09,37,92
2014-11-16,33,100
2014-11-23,32,90
2014-11-30,31,90
2014-12-07,36,91
2014-12-14,31,86
2014-12-21,28,87
2014-12-28,35,100
